,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_income,log10_income
0,LP001002,1,0,0.0,0,0,5849,0.0,128.0,360.0,1.0,2,1,5849.0,3.7670816213633223
1,LP001003,1,2,1.0,0,0,4583,1508.0,128.0,360.0,1.0,0,0,6091.0,3.7846885995014214
2,LP001005,1,2,0.0,0,2,3000,0.0,66.0,360.0,1.0,2,1,3000.0,3.4771212547196626
3,LP001006,1,2,0.0,1,0,2583,2358.0,120.0,360.0,1.0,2,1,4941.0,3.6938148538894167
4,LP001008,1,0,0.0,0,0,6000,0.0,141.0,360.0,1.0,2,1,6000.0,3.7781512503836434
5,LP001011,1,2,2.0,0,2,5417,4196.0,267.0,360.0,1.0,2,1,9613.0,3.9828589423120753
6,LP001013,1,2,0.0,1,0,2333,1516.0,95.0,360.0,1.0,2,1,3849.0,3.585347911094591
7,LP001014,1,2,3.0,0,0,3036,2504.0,158.0,360.0,0.0,1,0,5540.0,3.74350976472843
8,LP001018,1,2,2.0,0,0,4006,1526.0,168.0,360.0,1.0,2,1,5532.0,3.742882171437273
9,LP001020,1,2,1.0,0,0,12841,10968.0,349.0,360.0,1.0,1,0,23809.0,4.376741155018397
10,LP001024,1,2,2.0,0,0,3200,700.0,70.0,360.0,1.0,2,1,3900.0,3.591064607026499
11,LP001027,1,2,2.0,0,1,2500,1840.0,109.0,360.0,1.0,2,1,4340.0,3.637489729512511
12,LP001028,1,2,2.0,0,0,3073,8106.0,200.0,360.0,1.0,2,1,11179.0,4.0484029561527395
13,LP001029,1,0,0.0,0,0,1853,2840.0,114.0,360.0,1.0,0,0,4693.0,3.6714505542124947
14,LP001030,1,2,2.0,0,0,1299,1086.0,17.0,120.0,1.0,2,1,2385.0,3.3774883833761327
15,LP001032,1,0,0.0,0,0,4950,0.0,125.0,360.0,1.0,2,1,4950.0,3.694605198933569
16,LP001034,1,0,1.0,1,0,3596,0.0,100.0,240.0,1.0,2,1,3596.0,3.5558196830611912
17,LP001036,0,0,0.0,0,0,3510,0.0,76.0,360.0,0.0,2,0,3510.0,3.545307116465824
18,LP001038,1,2,0.0,1,0,4887,0.0,133.0,360.0,1.0,0,0,4887.0,3.689042339028172
19,LP001041,1,2,0.0,0,1,2600,3500.0,115.0,360.0,1.0,2,1,6100.0,3.785329835010767
20,LP001043,1,2,0.0,1,0,7660,0.0,104.0,360.0,0.0,2,0,7660.0,3.884228769632604
21,LP001046,1,2,1.0,0,0,5955,5625.0,315.0,360.0,1.0,2,1,11580.0,4.063708559391418
22,LP001047,1,2,0.0,1,0,2600,1911.0,116.0,360.0,0.0,1,0,4511.0,3.6542728270977105
23,LP001050,2,2,2.0,1,0,3365,1917.0,112.0,360.0,0.0,0,0,5282.0,3.722798396870905
24,LP001052,1,2,1.0,0,1,3717,2925.0,151.0,360.0,1.0,1,0,6642.0,3.8222988712623662
25,LP001066,1,2,0.0,0,2,9560,0.0,191.0,360.0,1.0,1,1,9560.0,3.9804578922761
26,LP001068,1,2,0.0,0,0,2799,2253.0,122.0,360.0,1.0,1,1,5052.0,3.703463341883293
27,LP001073,1,2,2.0,1,0,4226,1040.0,110.0,360.0,1.0,2,1,5266.0,3.7214808547700495
28,LP001086,1,0,0.0,1,0,1442,0.0,35.0,360.0,1.0,2,0,1442.0,3.15896526038341
29,LP001087,0,0,2.0,0,1,3750,2083.0,120.0,360.0,1.0,1,1,5833.0,3.7658919764300154
30,LP001091,1,2,1.0,0,1,4166,3369.0,201.0,360.0,1.0,2,0,7535.0,3.877083256650651
31,LP001095,1,0,0.0,0,0,3167,0.0,74.0,360.0,1.0,2,0,3167.0,3.500648063371912
32,LP001097,1,0,1.0,0,2,4692,0.0,106.0,360.0,1.0,0,0,4692.0,3.671358003443492
33,LP001098,1,2,0.0,0,0,3500,1667.0,114.0,360.0,1.0,1,1,5167.0,3.7132384615456617
34,LP001100,1,0,3.0,0,0,12500,3000.0,320.0,360.0,1.0,0,0,15500.0,4.190331698170292
35,LP001106,1,2,0.0,0,0,2275,2067.0,128.0,360.0,1.0,2,1,4342.0,3.637689819118401
36,LP001109,1,2,0.0,0,0,1828,1330.0,100.0,360.0,0.0,2,0,3158.0,3.499412125672275
37,LP001112,0,2,0.0,0,0,3667,1459.0,144.0,360.0,1.0,1,1,5126.0,3.709778601848225
38,LP001114,1,0,0.0,0,0,4166,7210.0,184.0,360.0,1.0,2,1,11376.0,4.055989583385691
39,LP001116,1,0,0.0,1,0,3748,1668.0,110.0,360.0,1.0,1,1,5416.0,3.733678655677088
40,LP001119,1,0,0.0,0,0,3600,0.0,80.0,360.0,1.0,2,0,3600.0,3.5563025007672873
41,LP001120,1,0,0.0,0,0,1800,1213.0,47.0,360.0,1.0,2,1,3013.0,3.478999131673357
42,LP001123,1,2,0.0,0,0,2400,0.0,75.0,360.0,1.0,2,1,2400.0,3.380211241711606
43,LP001131,1,2,0.0,0,0,3941,2336.0,134.0,360.0,1.0,1,1,6277.0,3.7977521286507105
44,LP001136,1,2,0.0,1,2,4695,0.0,96.0,360.0,1.0,2,1,4695.0,3.6716355966021297
45,LP001137,0,0,0.0,0,0,3410,0.0,88.0,360.0,1.0,2,1,3410.0,3.5327543789924976
46,LP001138,1,2,1.0,0,0,5649,0.0,44.0,360.0,1.0,2,1,5649.0,3.751971574736327
47,LP001144,1,2,0.0,0,0,5821,0.0,144.0,360.0,1.0,2,1,5821.0,3.7649975992848805
48,LP001146,0,2,0.0,0,0,2645,3440.0,120.0,360.0,0.0,2,0,6085.0,3.784260582566084
49,LP001151,0,0,0.0,0,0,4000,2275.0,144.0,360.0,1.0,1,1,6275.0,3.797613730153076
50,LP001155,0,2,0.0,1,0,1928,1644.0,100.0,360.0,1.0,1,1,3572.0,3.552911450216509
51,LP001157,0,0,0.0,0,0,3086,0.0,120.0,360.0,1.0,1,1,3086.0,3.4893959217271293
52,LP001164,0,0,0.0,0,0,4230,0.0,112.0,360.0,1.0,1,0,4230.0,3.6263403673750423
53,LP001179,1,2,2.0,0,0,4616,0.0,134.0,360.0,1.0,2,0,4616.0,3.664265800147675
54,LP001186,0,2,1.0,0,2,11500,0.0,286.0,360.0,0.0,2,0,11500.0,4.060697840353612
55,LP001194,1,2,2.0,0,0,2708,1167.0,97.0,360.0,1.0,1,1,3875.0,3.588271706842329
56,LP001195,1,2,0.0,0,0,2132,1591.0,96.0,360.0,1.0,1,1,3723.0,3.570893036218392
57,LP001197,1,2,0.0,0,0,3366,2200.0,135.0,360.0,1.0,0,0,5566.0,3.745543201998024
58,LP001198,1,2,1.0,0,0,8080,2250.0,180.0,360.0,1.0,2,1,10330.0,4.014100321519621
59,LP001199,1,2,2.0,1,0,3357,2859.0,144.0,360.0,1.0,2,1,6216.0,3.793511005792858
60,LP001205,1,2,0.0,0,0,2500,3796.0,120.0,360.0,1.0,2,1,6296.0,3.799064719351008
61,LP001206,1,2,3.0,0,0,3029,0.0,99.0,360.0,1.0,2,1,3029.0,3.481299273332856
62,LP001207,1,2,0.0,1,2,2609,3449.0,165.0,180.0,0.0,0,0,6058.0,3.782329268996837
63,LP001213,1,2,1.0,0,0,4945,0.0,128.0,360.0,0.0,0,0,4945.0,3.694166295933198
64,LP001222,0,0,0.0,0,0,4166,0.0,116.0,360.0,0.0,1,0,4166.0,3.619719265611727
65,LP001225,1,2,0.0,0,0,5726,4595.0,258.0,360.0,1.0,1,0,10321.0,4.013721778051063
66,LP001228,1,0,0.0,1,0,3200,2254.0,126.0,180.0,0.0,2,0,5454.0,3.7367151336056112
67,LP001233,1,2,1.0,0,0,10750,0.0,312.0,360.0,1.0,2,1,10750.0,4.031408464251625
68,LP001238,1,2,3.0,1,2,7100,0.0,125.0,60.0,1.0,2,1,7100.0,3.8512583487190755
69,LP001241,0,0,0.0,0,0,4300,0.0,136.0,360.0,0.0,1,0,4300.0,3.6334684555795866
70,LP001243,1,2,0.0,0,0,3208,3066.0,172.0,360.0,1.0,2,1,6274.0,3.7975445143617264
71,LP001245,1,2,2.0,1,2,1875,1875.0,97.0,360.0,1.0,1,1,3750.0,3.574031267727719
72,LP001248,1,0,0.0,0,0,3500,0.0,81.0,300.0,1.0,1,1,3500.0,3.5440680443502757
73,LP001250,1,2,3.0,1,0,4755,0.0,95.0,360.0,0.0,1,0,4755.0,3.6771505212734326
74,LP001253,1,2,3.0,0,2,5266,1774.0,187.0,360.0,1.0,1,1,7040.0,3.847572659142112
75,LP001255,1,0,0.0,0,0,3750,0.0,113.0,480.0,1.0,2,0,3750.0,3.574031267727719
76,LP001256,1,0,0.0,0,0,3750,4750.0,176.0,360.0,1.0,2,0,8500.0,3.929418925714293
77,LP001259,1,2,1.0,0,2,1000,3022.0,110.0,360.0,1.0,2,0,4022.0,3.6044420662607233
78,LP001263,1,2,3.0,0,0,3167,4000.0,180.0,300.0,0.0,1,0,7167.0,3.8553374044695405
79,LP001264,1,2,3.0,1,2,3333,2166.0,130.0,360.0,1.0,1,1,5499.0,3.7402837196818792
80,LP001265,0,0,0.0,0,0,3846,0.0,111.0,360.0,1.0,1,1,3846.0,3.585009279902461
81,LP001266,1,2,1.0,0,2,2395,0.0,128.0,360.0,1.0,1,1,2395.0,3.379305517750582
82,LP001267,0,2,2.0,0,0,1378,1881.0,167.0,360.0,1.0,2,0,3259.0,3.513084360465144
83,LP001273,1,2,0.0,0,0,6000,2250.0,265.0,360.0,1.0,1,0,8250.0,3.916453948549925
84,LP001275,1,2,1.0,0,0,3988,0.0,50.0,240.0,1.0,2,1,3988.0,3.600755149639618
85,LP001279,1,0,0.0,0,0,2366,2531.0,136.0,360.0,1.0,1,1,4897.0,3.689930104018218
86,LP001280,1,2,2.0,1,0,3333,2000.0,99.0,360.0,1.0,1,1,5333.0,3.7269715836828765
87,LP001282,1,2,0.0,0,0,2500,2118.0,104.0,360.0,1.0,1,1,4618.0,3.6644539285811577
88,LP001289,1,0,0.0,0,0,8566,0.0,210.0,360.0,1.0,2,1,8566.0,3.9327780700605506
89,LP001310,1,2,0.0,0,0,5695,4167.0,175.0,360.0,1.0,1,1,9862.0,3.993964998195119
90,LP001316,1,2,0.0,0,0,2958,2900.0,131.0,360.0,1.0,1,1,5858.0,3.76774936734558
91,LP001318,1,2,2.0,0,0,6250,5654.0,188.0,180.0,1.0,1,1,11904.0,4.075692918201804
92,LP001319,1,2,2.0,1,0,3273,1820.0,81.0,360.0,1.0,2,1,5093.0,3.7069736761761782
93,LP001322,1,0,0.0,0,0,4133,0.0,122.0,360.0,1.0,1,1,4133.0,3.616265405281708
94,LP001325,1,0,0.0,1,0,3620,0.0,25.0,120.0,1.0,1,1,3620.0,3.558708570533166
95,LP001326,1,0,0.0,0,1,6782,0.0,128.0,360.0,1.0,2,0,6782.0,3.8313577854420675
96,LP001327,0,2,0.0,0,0,2484,2302.0,137.0,360.0,1.0,1,1,4786.0,3.6799726942774185
97,LP001333,1,2,0.0,0,0,1977,997.0,50.0,360.0,1.0,1,1,2974.0,3.4733409641859354
98,LP001334,1,2,0.0,1,0,4188,0.0,115.0,180.0,1.0,1,1,4188.0,3.622006673006805
99,LP001343,1,2,0.0,0,0,1759,3541.0,131.0,360.0,1.0,1,1,5300.0,3.724275869600789
100,LP001345,1,2,2.0,1,0,4288,3263.0,133.0,180.0,1.0,2,1,7551.0,3.878004470268025
101,LP001349,1,0,0.0,0,0,4843,3806.0,151.0,360.0,1.0,1,1,8649.0,3.93696589710787
102,LP001350,1,2,0.0,0,0,13650,0.0,128.0,360.0,1.0,2,1,13650.0,4.135132651376775
103,LP001356,1,2,0.0,0,0,4652,3583.0,128.0,360.0,1.0,1,1,8235.0,3.9156636035057732
104,LP001357,1,1,0.0,0,0,3816,754.0,160.0,360.0,1.0,2,1,4570.0,3.6599162000698504
105,LP001367,1,2,1.0,0,0,3052,1030.0,100.0,360.0,1.0,2,1,4082.0,3.6108730003800518
106,LP001369,1,2,2.0,0,0,11417,1126.0,225.0,360.0,1.0,2,1,12543.0,4.0984014222700775
107,LP001370,1,0,0.0,1,1,7333,0.0,120.0,360.0,1.0,0,0,7333.0,3.8652816849956104
108,LP001379,1,2,2.0,0,0,3800,3600.0,216.0,360.0,0.0,2,0,7400.0,3.8692317197309762
109,LP001384,1,2,3.0,1,0,2071,754.0,94.0,480.0,1.0,1,1,2825.0,3.4510184521554574
110,LP001385,1,0,0.0,0,0,5316,0.0,136.0,360.0,1.0,2,1,5316.0,3.725584972270694
111,LP001387,0,2,0.0,0,1,2929,2333.0,139.0,360.0,1.0,1,1,5262.0,3.721150843749684
112,LP001391,1,2,0.0,1,0,3572,4114.0,152.0,360.0,0.0,0,0,7686.0,3.88570038012833
113,LP001392,0,0,1.0,0,2,7451,0.0,128.0,360.0,1.0,1,1,7451.0,3.8722145633975855
114,LP001398,1,0,0.0,0,1,5050,0.0,118.0,360.0,1.0,1,1,5050.0,3.7032913781186614
115,LP001401,1,2,1.0,0,0,14583,0.0,185.0,180.0,1.0,0,1,14583.0,4.163846875794205
116,LP001404,0,2,0.0,0,0,3167,2283.0,154.0,360.0,1.0,1,1,5450.0,3.7363965022766426
117,LP001405,1,2,1.0,0,0,2214,1398.0,85.0,360.0,1.0,2,1,3612.0,3.5577477416414682
118,LP001421,1,2,0.0,0,0,5568,2142.0,175.0,360.0,1.0,0,0,7710.0,3.8870543780509568
119,LP001422,0,0,0.0,0,0,10408,0.0,259.0,360.0,1.0,2,1,10408.0,4.01736728355353
120,LP001426,1,2,0.0,0,0,5667,2667.0,180.0,360.0,1.0,0,1,8334.0,3.9208534961212593
121,LP001430,0,0,0.0,0,0,4166,0.0,44.0,360.0,1.0,1,1,4166.0,3.619719265611727
122,LP001431,0,0,0.0,0,0,2137,8980.0,137.0,360.0,0.0,1,1,11117.0,4.045987605660968
123,LP001432,1,2,2.0,0,0,2957,0.0,81.0,360.0,1.0,1,1,2957.0,3.4708513245261177
124,LP001439,1,2,0.0,1,0,4300,2014.0,194.0,360.0,1.0,0,1,6314.0,3.8003045775561985
125,LP001443,0,0,0.0,0,0,3692,0.0,93.0,360.0,1.0,0,1,3692.0,3.5672616923538745
126,LP001448,2,2,3.0,0,0,23803,0.0,370.0,360.0,1.0,0,1,23803.0,4.376631696608533
127,LP001449,1,0,0.0,0,0,3865,1640.0,128.0,360.0,1.0,0,1,5505.0,3.7407573233077707
128,LP001451,1,2,1.0,0,2,10513,3850.0,160.0,180.0,0.0,2,0,14363.0,4.1572451604751945
129,LP001465,1,2,0.0,0,0,6080,2569.0,182.0,360.0,1.0,0,0,8649.0,3.93696589710787
130,LP001469,1,0,0.0,0,2,20166,0.0,650.0,480.0,1.0,2,1,20166.0,4.304619762853121
131,LP001473,1,0,0.0,0,0,2014,1929.0,74.0,360.0,1.0,2,1,3943.0,3.5958267770732233
132,LP001478,1,0,0.0,0,0,2718,0.0,70.0,360.0,1.0,1,1,2718.0,3.4342494523964757
133,LP001482,1,2,0.0,0,2,3459,0.0,25.0,120.0,1.0,1,1,3459.0,3.5389505620143615
134,LP001487,1,0,0.0,0,0,4895,0.0,102.0,360.0,1.0,1,1,4895.0,3.6897526961391565
135,LP001488,1,2,3.0,0,0,4000,7750.0,290.0,360.0,1.0,1,0,11750.0,4.0700378666077555
136,LP001489,0,2,0.0,0,0,4583,0.0,84.0,360.0,1.0,0,0,4583.0,3.6611498572447867
137,LP001491,1,2,2.0,0,2,3316,3500.0,88.0,360.0,1.0,2,1,6816.0,3.833529581758644
138,LP001492,1,0,0.0,0,0,14999,0.0,242.0,360.0,0.0,1,0,14999.0,4.176062305125079
139,LP001493,1,2,2.0,1,0,4200,1430.0,129.0,360.0,1.0,0,0,5630.0,3.7505083948513462
140,LP001497,1,2,2.0,0,0,5042,2083.0,185.0,360.0,1.0,0,0,7125.0,3.8527848686805477
141,LP001498,1,0,0.0,0,0,5417,0.0,168.0,360.0,1.0,2,1,5417.0,3.733758835587203
142,LP001504,1,0,0.0,0,2,6950,0.0,175.0,180.0,1.0,1,1,6950.0,3.8419848045901137
143,LP001507,1,2,0.0,0,0,2698,2034.0,122.0,360.0,1.0,1,1,4732.0,3.675044735955893
144,LP001508,1,2,2.0,0,0,11757,0.0,187.0,180.0,1.0,2,1,11757.0,4.070296518197765
145,LP001514,0,2,0.0,0,0,2330,4486.0,100.0,360.0,1.0,1,1,6816.0,3.833529581758644
146,LP001516,0,2,2.0,0,0,14866,0.0,70.0,360.0,1.0,2,1,14866.0,4.172194128466931
147,LP001518,1,2,1.0,0,0,1538,1425.0,30.0,360.0,1.0,2,1,2963.0,3.471731651480051
148,LP001519,0,0,0.0,0,0,10000,1666.0,225.0,360.0,1.0,0,0,11666.0,4.066921972093997
149,LP001520,1,2,0.0,0,0,4860,830.0,125.0,360.0,1.0,1,1,5690.0,3.7551122663950713
150,LP001528,1,0,0.0,0,0,6277,0.0,118.0,360.0,0.0,0,0,6277.0,3.7977521286507105
151,LP001529,1,2,0.0,0,2,2577,3750.0,152.0,360.0,1.0,0,1,6327.0,3.801197834459149
152,LP001531,1,0,0.0,0,0,9166,0.0,244.0,360.0,1.0,2,0,9166.0,3.962179852908768
153,LP001532,1,2,2.0,1,0,2281,0.0,113.0,360.0,1.0,0,0,2281.0,3.3581252852766488
154,LP001535,1,0,0.0,0,0,3254,0.0,50.0,360.0,1.0,2,1,3254.0,3.51241754860084
155,LP001536,1,2,3.0,0,0,39999,0.0,600.0,180.0,0.0,1,1,39999.0,4.602049133830196
156,LP001541,1,2,1.0,0,0,6000,0.0,160.0,360.0,1.0,0,1,6000.0,3.7781512503836434
157,LP001543,1,2,1.0,0,0,9538,0.0,187.0,360.0,1.0,2,1,9538.0,3.979457318097848
158,LP001546,1,0,0.0,0,1,2980,2083.0,120.0,360.0,1.0,0,1,5063.0,3.704407927386841
159,LP001552,1,2,0.0,0,0,4583,5625.0,255.0,360.0,1.0,1,1,10208.0,4.008940661377087
160,LP001560,1,2,0.0,1,0,1863,1041.0,98.0,360.0,1.0,1,1,2904.0,3.462996612028056
161,LP001562,1,2,0.0,0,0,7933,0.0,275.0,360.0,1.0,2,0,7933.0,3.8994374542861774
162,LP001565,1,2,1.0,0,0,3089,1280.0,121.0,360.0,0.0,1,0,4369.0,3.6403820447095683
163,LP001570,1,2,2.0,0,0,4167,1447.0,158.0,360.0,1.0,0,1,5614.0,3.7492724082984203
164,LP001572,1,2,0.0,0,0,9323,0.0,75.0,180.0,1.0,2,1,9323.0,3.9695556842208437
165,LP001574,1,2,0.0,0,0,3707,3166.0,182.0,360.0,1.0,0,1,6873.0,3.83714634390906
166,LP001577,0,2,0.0,0,0,4583,0.0,112.0,360.0,1.0,0,0,4583.0,3.6611498572447867
167,LP001578,1,2,0.0,0,0,2439,3333.0,129.0,360.0,1.0,0,1,5772.0,3.7613263224214566
168,LP001579,1,0,0.0,0,0,2237,0.0,63.0,480.0,0.0,1,0,2237.0,3.34966598409663
169,LP001580,1,2,2.0,0,0,8000,0.0,200.0,360.0,1.0,1,1,8000.0,3.9030899869919438
170,LP001581,1,2,0.0,1,1,1820,1769.0,95.0,360.0,1.0,0,1,3589.0,3.5549734583332397
171,LP001585,2,2,3.0,0,0,51763,0.0,700.0,300.0,1.0,2,1,51763.0,4.7140194385588226
172,LP001586,1,2,3.0,1,0,3522,0.0,81.0,180.0,1.0,0,0,3522.0,3.5467893516312583
173,LP001594,1,2,0.0,0,0,5708,5625.0,187.0,360.0,1.0,1,1,11333.0,4.0543448887676306
174,LP001603,1,2,0.0,1,2,4344,736.0,87.0,360.0,1.0,1,0,5080.0,3.7058637122839193
175,LP001606,1,2,0.0,0,0,3497,1964.0,116.0,360.0,1.0,0,1,5461.0,3.7372721765355434
176,LP001608,1,2,2.0,0,0,2045,1619.0,101.0,360.0,1.0,0,1,3664.0,3.563955464995813
177,LP001610,1,2,3.0,0,0,5516,11300.0,495.0,360.0,0.0,1,0,16816.0,4.225722698684167
178,LP001616,1,2,1.0,0,0,3750,0.0,116.0,360.0,1.0,1,1,3750.0,3.574031267727719
179,LP001630,1,0,0.0,1,0,2333,1451.0,102.0,480.0,0.0,2,0,3784.0,3.5779511277297553
180,LP001633,1,2,1.0,0,0,6400,7250.0,180.0,360.0,0.0,2,0,13650.0,4.135132651376775
181,LP001634,1,0,0.0,0,0,1916,5063.0,67.0,360.0,1.0,0,0,6979.0,3.8437931983259124
182,LP001636,1,2,0.0,0,0,4600,0.0,73.0,180.0,1.0,1,1,4600.0,3.662757831681574
183,LP001637,1,2,1.0,0,0,33846,0.0,260.0,360.0,1.0,1,0,33846.0,4.5295073501090375
184,LP001639,0,2,0.0,0,0,3625,0.0,108.0,360.0,1.0,1,1,3625.0,3.5593080109070123
185,LP001640,1,2,0.0,0,2,39147,4750.0,120.0,360.0,1.0,1,1,43897.0,4.6424348407896066
186,LP001641,1,2,1.0,0,2,2178,0.0,66.0,300.0,0.0,0,0,2178.0,3.3380578754197563
187,LP001643,1,2,0.0,0,0,2383,2138.0,58.0,360.0,1.0,0,1,4521.0,3.655234507034294
188,LP001644,2,2,0.0,0,2,674,5296.0,168.0,360.0,1.0,0,1,5970.0,3.775974331129369
189,LP001647,1,2,0.0,0,0,9328,0.0,188.0,180.0,1.0,0,1,9328.0,3.969788537414939
190,LP001653,1,0,0.0,1,0,4885,0.0,48.0,360.0,1.0,0,1,4885.0,3.688864568054792
191,LP001656,1,0,0.0,0,0,12000,0.0,164.0,360.0,1.0,1,0,12000.0,4.079181246047625
192,LP001657,1,2,0.0,1,0,6033,0.0,160.0,360.0,1.0,2,0,6033.0,3.780533325316404
193,LP001658,1,0,0.0,0,0,3858,0.0,76.0,360.0,1.0,1,1,3858.0,3.586362223307866
194,LP001664,1,0,0.0,0,0,4191,0.0,120.0,360.0,1.0,0,1,4191.0,3.6223176608338443
195,LP001665,1,2,1.0,0,0,3125,2583.0,170.0,360.0,1.0,1,0,5708.0,3.756483964442609
196,LP001666,1,0,0.0,0,0,8333,3750.0,187.0,360.0,1.0,0,1,12083.0,4.082174775484666
197,LP001669,0,0,0.0,1,0,1907,2365.0,120.0,360.0,1.0,2,1,4272.0,3.6306312440205
198,LP001671,0,2,0.0,0,0,3416,2816.0,113.0,360.0,1.0,1,1,6232.0,3.794627444664508
199,LP001673,1,0,0.0,0,2,11000,0.0,83.0,360.0,1.0,2,0,11000.0,4.041392685158225
200,LP001674,1,2,1.0,1,0,2600,2500.0,90.0,360.0,1.0,1,1,5100.0,3.7075701760979363
201,LP001677,1,0,2.0,0,0,4923,0.0,166.0,360.0,0.0,1,1,4923.0,3.6922298357727557
202,LP001682,1,2,3.0,1,0,3992,0.0,128.0,180.0,1.0,2,0,3992.0,3.6011905326153335
203,LP001688,1,2,1.0,1,0,3500,1083.0,135.0,360.0,1.0,2,1,4583.0,3.6611498572447867
